companyName,SN,,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2
 業強,6124,,6.94,7.42,-1.88,-2.21,-1.87,-1.26,-0.71,-0.59,-1.56,-3.98,-3.46,3.34,2.67,0.98,0.45,0.9,0.41,-0.19
 廣運,6125,,1.42,4.37,1.72,3.35,1.28,0.12,0.18,3.67,3.78,3.66,2.72,-6.28,-0.2,0.03,-2.49,-20.74,-4.65,-3.82
 信音,6126,,5.28,1.28,0.23,-27.84,-7.24,-6.71,-2.22,-2.19,-0.69,-0.79,-0.89,0.04,3.63,3.27,-0.87,12.54,12.2,7.01
 九豪,6127,,3.2,1.46,0.98,1.52,1.19,0.97,0.42,0.41,-1.19,-1.05,-1.91,-6.32,-4.87,-2.37,-2.7,-11.58,-9.36,-5.69
 上福,6128,,15.94,11.12,5,18.59,12.62,7.73,3.21,16.39,12.04,8.66,4.53,13.61,10.6,7.51,3.96,11.98,8.26,4.7
 普誠,6129,,0.4,0.82,0.11,-7.11,-6.91,-6.17,-2.34,3.75,2.97,2.7,0.52,-5.07,-4.59,-3.16,-1.62,1.23,1.55,0.39
 基因,6130,,-3.24,-3.14,0.78,-1.16,-1.45,0.96,0.92,4.73,5.77,6.94,9.02,-19.58,-1.01,15.33,6.4,29.52,19.7,14.65
 悠克,6131,,-8.63,-8.42,-4.01,-57.08,-8.82,-6.14,-2.47,-14.53,-11.43,-6.38,-3.37,-13.06,-4.29,-2.15,0.05,-4.22,-2.92,-0.9
 金橋,6133,,0.2,0.11,-0.48,2.56,2.42,0.2,-0.28,3.27,1.81,0.98,0.87,0.96,-0.06,-0.69,-0.48,0.8,0.58,-0.02
 萬旭,6134,,3.05,1.34,0,-12.49,-9.94,-10.63,-5.57,-19.73,-12.87,-9.71,-5.4,-26.23,-18.38,-14.28,-8.78,-31.72,-21.09,-13.33
 富爾特,6136,,8.18,2.24,1.15,7.6,7.11,2.72,0.5,7.28,6.72,2.47,0.51,6.97,5.12,0.74,0.55,7.36,5.58,1.09
 茂達,6138,,10.08,6.06,3.42,9.24,4.95,2.47,1.76,13.52,11.43,6.56,3.02,6.74,5.88,4.7,2.43,6.11,7.7,5.49
 亞翔,6139,,7.08,5.96,2.81,3.04,2.49,0.44,0.03,3.24,2.05,1.79,0.25,5.35,2.78,2.46,1,6.86,4.66,3.78
